"Average retail price of electricity"
"https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=vvvvvvvvvvvvo&endsec=6&linechart=~~&freq=A&start=2010&end=2014&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin="
"Sun Apr 30 2017 20:47:40 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"description","units","source key","2010","2011","2012","2013","2014"
"West South Central : industrial","cents per kilowatthour","ELEC.PRICE.WSC-IND.A",6.12,6.00,5.39,5.82,6.10
"Arkansas : commercial","cents per kilowatthour","ELEC.PRICE.AR-COM.A",7.31,7.50,7.71,8.05,8.05
"Arkansas : industrial","cents per kilowatthour","ELEC.PRICE.AR-IND.A",5.44,5.63,5.76,6.04,6.02
"Louisiana : commercial","cents per kilowatthour","ELEC.PRICE.LA-COM.A",8.50,8.44,7.75,8.96,9.10
"Louisiana : industrial","cents per kilowatthour","ELEC.PRICE.LA-IND.A",5.84,5.69,4.76,5.92,6.05
"Oklahoma : commercial","cents per kilowatthour","ELEC.PRICE.OK-COM.A",7.45,7.60,7.32,7.77,8.09
"Oklahoma : industrial","cents per kilowatthour","ELEC.PRICE.OK-IND.A",5.35,5.46,5.09,5.49,5.85
"Texas : commercial","cents per kilowatthour","ELEC.PRICE.TX-COM.A",9.19,8.83,8.16,8.02,8.16
"Texas : industrial","cents per kilowatthour","ELEC.PRICE.TX-IND.A",6.44,6.24,5.57,5.81,6.16
"Mountain : commercial","cents per kilowatthour","ELEC.PRICE.MTN-COM.A",8.75,8.86,8.99,9.35,9.65
"Mountain : industrial","cents per kilowatthour","ELEC.PRICE.MTN-IND.A",6.13,6.08,6.18,6.48,6.68
"Arizona : commercial","cents per kilowatthour","ELEC.PRICE.AZ-COM.A",9.47,9.50,9.53,9.85,10.13
"Arizona : industrial","cents per kilowatthour","ELEC.PRICE.AZ-IND.A",6.63,6.55,6.53,6.66,6.46
"Colorado : commercial","cents per kilowatthour","ELEC.PRICE.CO-COM.A",9.13,9.44,9.39,9.86,10.08
"Colorado : industrial","cents per kilowatthour","ELEC.PRICE.CO-IND.A",6.90,7.06,6.95,7.34,7.47
"Idaho : commercial","cents per kilowatthour","ELEC.PRICE.ID-COM.A",6.64,6.41,6.86,7.37,7.78
"Idaho : industrial","cents per kilowatthour","ELEC.PRICE.ID-IND.A",5.15,5.10,5.48,6.09,6.40
"Montana : commercial","cents per kilowatthour","ELEC.PRICE.MT-COM.A",8.55,9.12,9.13,9.54,9.64
"Montana : industrial","cents per kilowatthour","ELEC.PRICE.MT-IND.A",5.55,5.27,5.10,5.43,5.49
"Nevada : commercial","cents per kilowatthour","ELEC.PRICE.NV-COM.A",9.79,9.05,8.83,9.01,9.47
"Nevada : industrial","cents per kilowatthour","ELEC.PRICE.NV-IND.A",7.37,6.65,6.48,6.52,7.12
"New Mexico : commercial","cents per kilowatthour","ELEC.PRICE.NM-COM.A",8.57,9.07,9.32,9.74,10.27
"New Mexico : industrial","cents per kilowatthour","ELEC.PRICE.NM-IND.A",6.01,6.06,5.83,6.36,6.61
"Utah : commercial","cents per kilowatthour","ELEC.PRICE.UT-COM.A",7.15,7.35,8.06,8.32,8.53
"Utah : industrial","cents per kilowatthour","ELEC.PRICE.UT-IND.A",4.93,5.10,5.62,5.87,6.08
"Wyoming : commercial","cents per kilowatthour","ELEC.PRICE.WY-COM.A",7.42,7.72,8.24,8.57,8.88
"Wyoming : industrial","cents per kilowatthour","ELEC.PRICE.WY-IND.A",4.98,5.41,6.03,6.42,6.61
"Pacific Contiguous : commercial","cents per kilowatthour","ELEC.PRICE.PCC-COM.A",11.58,11.61,11.92,12.49,13.60
"Pacific Contiguous : industrial","cents per kilowatthour","ELEC.PRICE.PCC-IND.A",7.47,7.62,7.78,8.61,9.08
"California : commercial","cents per kilowatthour","ELEC.PRICE.CA-COM.A",13.09,13.05,13.41,14.20,15.62
"California : industrial","cents per kilowatthour","ELEC.PRICE.CA-IND.A",9.80,10.11,10.49,11.44,12.34
"Oregon : commercial","cents per kilowatthour","ELEC.PRICE.OR-COM.A",7.59,8.15,8.31,8.68,8.75
"Oregon : industrial","cents per kilowatthour","ELEC.PRICE.OR-IND.A",5.40,5.47,5.59,5.80,5.97
"Washington : commercial","cents per kilowatthour","ELEC.PRICE.WA-COM.A",7.37,7.49,7.68,7.78,7.97
"Washington : industrial","cents per kilowatthour","ELEC.PRICE.WA-IND.A",4.08,4.09,4.13,4.23,4.32
"Pacific Noncontiguous : commercial","cents per kilowatthour","ELEC.PRICE.PCN-COM.A",20.45,24.45,25.50,25.49,26.29
"Pacific Noncontiguous : industrial","cents per kilowatthour","ELEC.PRICE.PCN-IND.A",19.88,25.02,26.99,26.08,26.30
"Alaska : commercial","cents per kilowatthour","ELEC.PRICE.AK-COM.A",13.95,15.10,14.93,15.58,17.09
"Alaska : industrial","cents per kilowatthour","ELEC.PRICE.AK-IND.A",14.14,15.71,16.82,15.83,15.66
"Hawaii : commercial","cents per kilowatthour","ELEC.PRICE.HI-COM.A",25.93,32.37,34.88,34.05,34.21
"Hawaii : industrial","cents per kilowatthour","ELEC.PRICE.HI-IND.A",21.94,28.40,30.82,29.87,30.22 
